Pickup_Datetime,Total_amount	
2013-03-30 4,173224.75999999954
2013-07-07 6,80542.550000000119
2013-05-09 4,64732.620000000083
2013-08-11 6,41903.910000000113
2013-10-07 4,60723.100000000144
2013-10-26 12,352592.43999999983
2013-10-30 13,353646.41999999987
2013-03-24 0,484759.20000000024
2013-09-01 1,293086.33999999933
2013-03-03 21,317892.37999999983
2013-12-04 4,58842.360000000015
2013-04-01 17,379594.12999999954
2013-06-07 18,449937.55999999988
2013-12-02 16,322596.6
2013-06-06 17,385927.92999999959
2013-09-21 14,356456.40000000031
2013-04-14 14,396544.50999999989
2013-11-19 7,313977.30000000045
2013-09-12 7,337918.81000000023
2013-12-07 13,397098.04000000015
2013-05-12 17,350778.61000000051
2013-09-23 21,404160.68
2013-04-24 1,123057.94999999995
2013-10-05 0,449346.41
2013-01-20 22,318870.6599999998
2013-08-18 23,228700.31999999954
2013-11-05 19,422435.95000000118
2013-06-09 10,242228.8199999998
2013-04-15 9,368747.43000000005
2013-12-09 13,324635.93999999965
2013-07-02 11,291922.69999999949
2013-10-18 8,377808.21999999986
2013-01-10 7,299625.36000000034
2013-09-08 18,375335.99999999959
2013-01-21 14,331964.11000000004
2013-01-17 15,367341.72999999957
2013-06-04 12,338670.63000000006
2013-05-04 17,358118.18999999994
2013-12-14 1,441756.71
2013-02-14 23,430801.52000000054
2013-12-16 20,426526.15999999933
2013-04-29 22,339688.2200000005
2013-02-01 2,124085.68999999994
2013-02-21 20,501485.13999999943
2013-02-17 2,367438.60999999958
2013-08-14 20,428068.34999999986
2013-02-16 20,405599.45999999938
2013-12-03 3,37646.910000000018
2013-01-15 19,463820.54000000027
2013-05-02 11,350481.20000000019
2013-06-04 18,464869.68000000058
2013-08-28 16,276636.23000000021
2013-10-29 6,166131.75999999995
2013-07-23 7,281426.95000000013
2013-01-08 22,330482.78000000044
2013-09-30 16,314890.42000000016
2013-02-27 22,433503.23999999958
2013-09-14 13,344611.77000000031
2013-02-21 14,381509.03999999975
2013-10-07 22,333747.39000000013
2013-04-15 21,393732.59999999992
2013-03-21 22,497138.58000000007
2013-05-24 22,415266.3099999993
2013-06-22 3,241994.44000000003
2013-08-11 9,73144.250000000087
2013-01-22 9,370813.41999999975
2013-05-13 15,356972.9100000005
2013-11-23 18,421899.82999999996
2013-02-09 19,415353.10999999923
2013-02-02 14,344257.55000000005
2013-10-12 7,146469.95000000007
2013-07-10 9,369491.05000000028
2013-07-01 14,332608.36000000034
2013-12-24 12,278000.18999999959
2013-07-12 14,368539.1
2013-10-27 13,367349.81000000029
2013-04-11 6,189104.49000000002
2013-10-11 7,321551.68999999983
2013-07-21 6,87096.4300000001
2013-09-28 13,363269.00999999983
2013-03-07 6,176884.66999999993
2013-09-01 9,141725.92000000007
2013-06-15 12,298924.1300000007
2013-01-25 8,407707.82999999961
2013-09-24 12,320732.42000000039
2013-06-30 18,318106.03000000014
2013-02-11 12,296136.08000000048
2013-07-04 19,221171.59000000061
2013-04-27 7,129634.74999999993
2013-11-29 0,154590.19000000003
2013-12-28 4,132542.92000000013
2013-06-30 21,304837.46999999968
2013-07-10 20,379534.64000000042
2013-05-25 0,420455.85000000044
2013-04-26 20,481190.41999999969
2013-04-01 21,391962.38999999908
2013-06-05 0,246514.09000000008
2013-01-06 2,316274.24999999977
2013-06-24 22,346661.0099999996
2013-09-21 1,398669.71999999968
2013-11-04 23,264995.53999999986
2013-11-13 0,204001.72999999995
2013-07-06 0,241534.61999999997
2013-08-29 5,85264.29000000011
2013-02-25 1,87276.6500000001
2013-05-12 1,377737.2
2013-04-27 4,175179.71000000008
2013-04-20 20,434751.40000000014
2013-04-30 3,40839.119999999995
2013-12-10 21,474086.4700000002
2013-09-27 16,304650.9299999997
2013-02-11 16,298943.85999999946
2013-12-10 7,327079.65000000026
2013-07-01 19,373893.55000000016
2013-10-23 19,496009.63000000012
2013-02-05 16,296392.68999999977
2013-01-07 8,353012.17000000051
2013-08-22 16,276238.87999999995
2013-07-31 22,426464.9899999997
2013-04-23 22,426961.7599999996
2013-10-13 0,454405.98000000062
2013-02-20 20,460278.90999999933
2013-03-04 22,365324.2600000003
2013-03-26 17,368840.94000000018
2013-07-25 19,464141.91000000061
2013-12-30 20,345166.23000000045
2013-01-10 18,454209.20999999979
2013-11-02 18,415135.59999999963
2013-04-13 23,503232.70999999944
2013-07-11 1,181426.85999999981
2013-10-03 10,333319.14000000048
2013-10-13 14,374160.42000000027
2013-07-14 3,253845.79000000027
2013-08-20 22,375342.92999999959
2013-05-02 0,252637.15000000002
2013-12-06 8,406132.26000000065
2013-03-01 15,368178.25999999983
2013-08-23 7,249131.29000000004
2013-04-16 14,370925.95
2013-09-30 12,304827.63999999996
2013-11-13 7,326585.80000000034
2013-10-10 12,378953.99000000034
2013-05-02 13,379589.48999999947
2013-03-28 13,374731.49000000011
2013-04-19 6,189444.48000000004
2013-01-08 8,366396.96999999951
2013-08-19 14,313161.4800000001
2013-12-10 11,294908.38000000012
2013-05-17 13,376455.47999999957
2013-08-04 10,105418.7000000001
2013-12-08 16,348420.65999999974
2013-09-03 7,289203.73999999976
2013-04-16 13,342875.56000000029
2013-03-06 12,359253.92000000027
2013-07-21 12,286511.3
2013-01-27 22,253292.2800000002
2013-01-24 23,409049.53999999922
2013-01-12 22,424329.94000000047
2013-02-22 20,474352.72999999893
2013-04-22 0,180450.5
2013-03-11 0,177428.67999999988
2013-08-26 20,342247.61000000004
2013-09-07 5,91331.940000000119
2013-02-18 22,297697.44999999995
2013-03-03 1,435524.83999999973
2013-04-09 20,438551.04000000004
2013-12-16 5,117563.22999999985
2013-01-11 19,495440.96999999939
2013-05-23 18,428946.66000000038
2013-06-17 18,419469.97000000003
2013-05-27 2,153958.25000000015
2013-05-25 18,298893.26
2013-02-08 15,260999.67000000007
2013-09-18 18,454337.2100000002
2013-12-11 17,391308.14999999985
2013-11-23 12,353110.77
2013-09-25 13,356727.98999999993
2013-01-23 21,442466.50999999978
2013-08-20 2,62571.420000000049
2013-09-12 23,452488.63
2013-04-27 16,300466.18999999989
2013-11-04 22,362186.06000000006
2013-09-17 16,302635.95000000048
2013-04-29 0,167493.42999999982
2013-03-13 19,484208.69000000058
2013-07-13 9,190531.77999999988
2013-10-23 14,386860.0400000001
2013-04-10 11,328797.70000000007
2013-07-04 6,95381.550000000134
2013-03-07 12,357159.91999999952
2013-02-18 19,345918.34000000014
2013-09-08 14,359935.10000000015
2013-05-27 17,311810.32999999984
2013-03-16 15,385824.16000000032
2013-07-12 2,154184.58
2013-06-13 4,74489.2200000001
2013-12-20 22,477522.53000000009
2013-09-03 2,53075.920000000035
2013-02-12 14,377900.09999999992
2013-06-18 9,371099.86000000022
2013-04-13 9,229196.73999999996
2013-01-10 1,109722.65999999993
2013-03-13 18,481940.63000000018
2013-05-16 1,171842.9500000001
2013-12-24 17,299990.80000000016
2013-09-15 15,393068.10999999981
2013-08-11 16,152097.29999999993
2013-09-18 10,346066.16000000003
2013-12-26 12,245641.30999999985
2013-08-30 0,334531.17000000062
2013-02-09 0,109932.62999999992
2013-05-14 21,446274.98000000004
2013-03-13 1,129558.42
2013-03-12 5,79235.5700000001
2013-05-19 12,403233.43999999989
2013-02-08 6,199562.69000000012
2013-07-13 7,111922.59999999998
2013-02-28 2,85969.229999999952
2013-08-12 17,329887.17999999982
2013-07-09 0,207783.6699999999
2013-01-02 2,43027.480000000025
2013-03-13 2,78586.409999999989
2013-11-23 3,253218.33999999991
2013-10-27 4,223199.7099999999
2013-06-06 5,100374.49000000009
2013-11-19 5,81472.850000000151
2013-06-20 5,99011.010000000068
2013-05-21 3,54845.610000000022
2013-02-12 2,59972.199999999917
2013-01-22 5,79782.070000000167
2013-02-25 3,36857.950000000055
2013-03-09 5,97307.540000000154
2013-12-02 2,54619.140000000072
2013-11-18 5,111258.45000000013
2013-11-28 6,119104.39999999998
2013-12-14 5,107227.90000000007
2013-04-03 3,47436.990000000078
2013-03-15 5,116351.45000000016
2013-12-28 6,86924.000000000116
2013-09-22 5,96592.340000000142
2013-01-14 4,53127.190000000068
2013-09-16 2,63126.0600000001
2013-02-11 15,328043.2900000001
2013-10-10 10,351685.74000000028
2013-07-09 14,354269.06000000058
2013-12-23 9,280329.39999999967
2013-04-03 6,170236.0500000001
2013-12-07 16,316217.25000000023
2013-06-08 16,284795.2099999999
2013-07-19 10,341555.60000000038
2013-06-20 0,286238.96999999968
2013-01-05 22,406179.91000000038
2013-09-22 1,409864.52
2013-10-10 23,469909.80000000092
2013-12-07 0,459906.19000000024
2013-11-08 21,484508.43000000023
2013-04-04 0,239096.44000000012
2013-02-15 19,485672.55999999976
2013-10-10 16,319897.49000000022
2013-11-09 14,377490.52999999962
2013-07-23 13,348462.75999999995
2013-09-16 15,362673.83999999985
2013-10-12 10,290946.73999999982
2013-11-05 15,369530.50999999954
2013-08-31 17,297230.74
2013-01-04 22,403877.94000000035
2013-03-22 21,474774.81
2013-08-01 17,161746.64999999994
2013-10-13 11,324143.56999999954
2013-04-29 6,195095.56999999986
2013-08-07 12,328269.89000000048
2013-02-19 9,356478.45999999979
2013-06-02 14,377312.86000000028
2013-09-10 9,378192.87000000052
2013-05-20 15,375592.91999999952
2013-05-22 7,335836.88
2013-09-26 10,329385.14000000025
2013-03-04 7,313817.0500000001
2013-11-11 7,262312.14999999997
2013-08-10 14,279638.34999999992
