date_hour,total
2014-01-07 14,313896.00999999989
2014-08-24 14,309696.69999999995
2014-10-11 17,348773.17000000016
2014-09-27 9,227934.52999999985
2014-04-02 12,356217.04999999929
2014-03-22 13,328660.06999999942
2014-08-23 14,271802.96999999945
2014-06-21 22,401852.81000000011
2014-04-02 1,119352.71999999991
2014-09-14 22,293811.79999999993
2014-08-30 21,272385.20999999961
2014-05-11 23,274617.44999999966
2014-02-26 6,176474.60999999961
2014-06-01 16,330884.2
2014-10-16 12,336295.95999999996
2014-12-05 13,361787.12000000005
2014-11-25 10,307818.89
2014-11-29 13,310504.00999999983
2014-10-21 6,174276.2399999995
2014-11-20 18,451348.67999999993
2014-04-09 7,323642.1599999998
2014-08-09 6,101657.10000000009
2014-07-21 3,39067.550000000039
2014-07-30 1,129235.35999999994
2014-12-20 2,318273.64000000025
2014-10-22 5,81204.830000000176
2014-02-14 4,60535.500000000124
2014-09-30 18,429108.77000000019
2014-08-02 12,276511.46
2014-07-25 23,443038.64000000007
2014-11-23 23,191275.92999999993
2014-01-01 11,211921.80000000005
2014-12-02 6,184313.85999999996
2014-08-23 4,148572.37999999992
2014-10-03 4,86042.880000000019
2014-02-05 23,299727.55000000022
2014-08-10 2,283367.55999999982
2014-04-18 3,117229.57999999999
2014-11-30 18,332540.21000000037
2014-10-20 0,166332.76999999993
2014-11-21 16,301724.07999999978
2014-05-26 7,105543.16000000012
2014-07-05 0,272031.18000000028
2014-06-15 5,97718.24000000018
2014-07-24 4,64824.230000000083
2014-06-03 2,64942.320000000072
2014-04-22 13,333598.39999999991
2014-11-19 4,52783.420000000078
2014-01-15 0,174671.24999999951
2014-04-09 1,117992.41999999993
2014-04-05 3,221717.5500000001
2014-02-14 3,57793.46000000005
2014-02-17 2,116334.95000000006
2014-02-04 1,87109.740000000209
2014-05-27 0,177585.66999999987
2014-09-07 5,90154.310000000056
2014-01-08 2,57527.650000000009
2014-12-03 5,78507.760000000038
2014-12-04 4,64774.0400000001
2014-07-06 12,229996.59999999989
2014-04-09 4,60960.110000000073
2014-04-01 1,104691.08000000003
2014-02-05 5,40972.549999999996
2014-04-27 6,113237.81000000004
2014-09-02 0,146654.2099999999
2014-02-24 5,99583.690000000235
2014-11-10 2,48700.810000000034
